General information;;;;;Effects;;;Additionally;
167;Threat of computer infection when visiting unreliable sites;"The threat consists in the possibility of violating the security of protected information by malicious programs that are secretly installed when system users visit sites with unreliable content from their workplaces (intentionally or accidentally redirected) and run with the privileges of discredited users.
This threat is caused by weaknesses in network traffic filtering and anti-virus control mechanisms at the organization level. 
This threat can be implemented if users of the system visit sites with unreliable content from their workplaces";Low-potential domestic intruder;Network node, network software;1;1;1;25.05.2015;11.02.2019
168;"Threat of ""theft"" of the network service access account";"The threat consists in the possibility of unauthorized familiarization by the violator with the protected user information by obtaining identification/authentication information corresponding to the user's access account to network services (social network, cloud services, etc.), which is associated with an inactive/non-existent email address.
This threat is caused by insufficient measures to control the activity/existence of email mailboxes.
This threat can be implemented under the following conditions:
 if the email address associated with the user's access account to network services has the ""free to borrow"" status (for example, if the user specified a non-existent address during registration or did not access the mailbox for a long time, as a result of which it was disabled);
 if the intruder has information about about the email address associated with the discredited user's account for accessing network services";External intruder with low potential;Network Software;1;0;1;25.05.2015;11.02.2019
169;Threat of developer mechanisms;"The threat lies in the possibility of intercepting program management through the use of debugging mechanisms (special software functions or hardware elements that help you test and debug tools during their development).
This threat is caused by insufficient measures to control errors during the development of information security tools. 
This threat can be implemented if debugging mechanisms are not removed in the program.";An internal intruder with an average potential;Software, technical means;1;1;1;25.05.2015;11.02.2019
170;Threat of unauthorized encryption of information;"The threat consists in the possibility of actual loss of availability of protected data due to their unauthorized cryptographic transformation by an intruder using a secret key known only to him.
This threat is caused by weaknesses in antivirus protection, as well as in access control mechanisms. 
The implementation of this threat is possible if the intruder successfully installs a cryptographic information conversion tool on the discredited computer, as well as successfully detects (identifies) the protected files by the intruder";External intruder with low potential;File system object;0;0;1;25.05.2015;11.02.2019
171;Threat of covert inclusion of a computing device in the botnet;"The threat consists in the possibility of the intruder's indirect destructive impact on information systems from a variety of computing devices (computers, mobile technical equipment, etc.) connected to the Internet, by seizing control of such devices by unauthorized installation of:
malicious software of the Backdoor type to provide the intruder with the ability to remotely access/control the discredited computing device;
client software for inclusion in the botnet and use of the botnet created in this way for various illegal purposes (sending spam, conducting denial-of-service attacks, etc.). 
This threat is caused by vulnerabilities in the network software and weaknesses in the anti-virus control and firewall mechanisms. 
The implementation of this threat is possible if there is an exit from the discredited computing device to the Internet";External intruder with low potential;Network node, network software;0;0;1;25.05.2015;11.02.2019
172;"The threat of the spread of ""mail worms""";"The threat consists in the possibility of violating the security of the user's protected information by malicious programs that are secretly installed when system users receive emails containing malicious software such as ""mail worm"", as well as unwittingly participating in further illegal distribution of malicious code.
This threat is caused by weaknesses in the anti-virus control mechanisms.
This threat can be implemented if the discredited user has an electronic mailbox, as well as at least one address of another user in their address book.";External intruder with low potential;Network Software;1;1;1;25.05.2015;11.02.2019
173;Web Server Spam Threat;"The threat consists in the possibility of illegal mass distribution of commercial, political, fraudulent and other messages to the web server by the violator without a request from the discredited web servers. 
This threat is caused by vulnerabilities in the mechanisms for filtering messages coming from the Internet.
This threat can be implemented if the discredited web server has activated functionality that implements various mail servers, instant message delivery services, blogs, forums, web store auctions, online SMS messaging services, online voting services, etc.";External intruder with low potential;Network Software;0;0;1;25.05.2015;11.02.2019
174;"The threat of ""pharming""";"The threat consists in the possibility of unauthorized familiarization by the violator with the protected information (including identification/authentication) of the user by secretly redirecting the user to a fake site (which looks the same as the original one), where the discredited user is required to enter the protected information. 
This threat is caused by vulnerabilities in the DNS server and router.
This threat can be implemented if the intruder has: 
information about specific sites visited by the user that require entering protected information; 
tools for creating and launching a fake site; 
special software tools of the ""exploit"" type that redirect the user to a fake site. 
In addition, this type of threat affects genuine sites that do not require establishing a secure connection before entering restricted access information.";External intruder with low potential;Workstation, network software, network traffic;1;0;0;25.05.2015;11.02.2019
175;Phishing threat;"The threat consists in the possibility of unauthorized familiarization by the violator with the protected information (including identification/authentication) of the user by convincing him using social engineering methods (including sending targeted emails (the so-called spear-phishing attack), using calls with a question about opening an email attachment, imitation of advertising offers (fake offers) or various applications (fake apps)) go to a fake site (which looks the same as the original one), where the discredited user is required to enter protected information or open an infected attachment in an email. 
This threat is caused by insufficient knowledge of users about the methods and means of ""phishing"".
This threat can be implemented if the intruder has: 
information about specific sites visited by the user that require entering protected information; 
tools for creating and launching a fake site; 
information about the user's contacts with a trusted organization (phone number, email address, etc.). 
Fake emails from the administration of an organization that the user interacts with (for example, a bank)are most often used to persuade the user to disclose restricted access information (or open an attachment to an email)";External intruder with low potential;Workstation, network software, network traffic;1;0;0;25.05.2015;11.02.2019
176;Risk of disruption of the technological / production process due to time delays introduced by the security tool;"The threat consists in the possibility of bringing the system into a ""denial of service"" state or disrupting the normal functioning mode due to a time delay in real-time systems introduced into the processes of transmitting and processing protected information by information security tools, caused by the need to process the transmitted / processed information in order to identify and neutralize information security threats. 
The implementation of this threat is affected not only by the range of information security tools used, their settings, the amount of information transmitted/processed, but also by the current activity of external intruders whose software impacts are processed by information security tools.";External intruder with low potential;Information protection tool;0;0;1;18.08.2015;11.02.2019
177;Threat of unconfirmed data entry by the operator into a security-related system;"The threat consists in the possibility of errors in the system operation due to the absence (or ignoring) of a procedure for detecting and correcting errors in the data entered during operation by the operator himself, before activating the managed equipment. In addition, the implementation of this threat may result in incorrectly implemented (or missing) means of responding to incorrect, spontaneous actions of the operator, tools for taking into account the lower/upper limits of the speed and direction of the operator's reaction, response schemes for double-tapping keys when entering normal and critical data, procedures for forming time pauses with the ability to choose different answers (yes/no, etc.). 
The feasibility of this threat depends on the requirements for detecting and correcting errors in the data entered into the security-related system, as well as the difference between these requirements and the actual level of error detection and correction.";Low-potential domestic intruder;System software, Network software, Application software, Hardware;0;1;1;18.08.2015;11.02.2019
178;Threat of unauthorized use of system and network utilities;"The threat consists in the possibility of an intruder performing a destructive software impact on the system through the use of existing or pre-implemented standard (known and usually undetected by antivirus programs as malicious) system and network utilities intended for use by the administrator for diagnostics and maintenance of the system (network).
The implementation of this threat is possible under the following conditions: 
the presence of standard system and network utilities in the system or their successful implementation by the intruder into the system and hiding (using existing archives, ""hidden"" or ""read-only"" attributes, etc.);
 the intruder has privileges to run such utilities";"External intruder with low potential; Internal intruder with low potential";System Software;1;1;1;18.08.2015;11.02.2019
179;Threat of unauthorized modification of protected information;"The threat consists in the possibility of violating the integrity of the protected information by performing a destructive physical impact on the machine storage medium or destructive software impact (including changing individual bits or completely erasing information) on the data stored on it. 
The implementation of this threat is possible if the violator obtains system rights to write data or physical access to the machine storage medium at a distance sufficient to provide an effective destructive impact.";"External intruder with low potential; Internal intruder with low potential";File system Objects;0;1;0;18.08.2015;11.02.2019
180;Threat of failure of the temperature control subsystem;"The threat is the possibility of damage to part of the system components or the system as a whole due to the temperature regime of their operation exceeding the specified requirements due to the failure of the ventilation subsystems and temperature devices included in it. 
The implementation of this threat is possible both due to natural man-made causes, and by carrying out certain measures by the violator aimed at remotely disabling / disabling components of the temperature control subsystem.";"Internal intruder with low potential; External intruder with medium potential";Technical means of air conditioning, including pipeline systems for cooling air circulation in the data center, programmable logic controllers, distributed control systems, management systems, and other software control tools;0;0;1;18.08.2015;11.02.2019
181;Threat of real-time interception of one-time passwords;"The threat consists in the possibility of an intruder taking control of critical user operations by intercepting one-time passwords sent by the system automatically and using them to perform illegal actions before their validity period expires (usually no more than 5 minutes).
This threat can be implemented if the following conditions
are met: the intruder has information about the identification/authentication information of the discredited user of a conditional permanent action; 
the intruder successfully intercepts traffic between the system and the user";External intruder with medium potential;Network Software;0;1;0;18.08.2015;11.02.2019
182;Threat of physical obsolescence of hardware components;"The threat consists in the possibility of disruption of the system's security-related functionality due to failures of hardware components of this system due to their physical obsolescence (rust, rapid wear, oxidation, contamination, peeling, peeling, etc.) due to the influence of the physical environment (humidity, dust, corrosive substances).
The possibility of implementing this threat increases when users use technical means in conditions that do not meet the requirements set by their manufacturer.";Low-potential domestic intruder;Hardware tool;0;0;1;18.08.2015;11.02.2019
183;Threat of control interception by an automated process control system;"The threat consists in the possibility for the violator to gain unauthorized access to the information infrastructure by obtaining the violator the right to control the automated process control system that is part of it by exploiting vulnerabilities in its software or weaknesses in technological data transmission protocols. 
This threat is caused by the presence of software-based network interaction interfaces in the automated process control system and, as a result, the possibility of unauthorized access to this system, as well as insufficient network traffic filtering and anti-virus protection measures. 
The implementation of this threat is possible if the violator has the rights to interact with the automated process control system. The implementation of this threat may result in: 
blocking or distortion (incorrect execution) of algorithms for working out tasks for managing technological processes, direct control of enterprise equipment; 
violation of the normal course of technological processes; 
partial or complete shutdown of technological processes without (or with) equipment failure; 
emergency situation in a critical information infrastructure system";"External intruder with high potential; Internal intruder with medium potential";Software of the automated process control system;0;1;1;23.06.2016;11.02.2019
184;Threat of data aggregation processed using a mobile device;"The threat consists in the possibility of the violator collecting and analyzing information processed using a mobile device, through the use of special software embedded by the user in the system software of the mobile device, as well as embedded in mobile programs under the guise of a software platform for their development by other companies. 
This threat is caused by the presence of multiple data transmission channels in a mobile device, as well as the complexity of controlling the flow of information in such a device. 
This threat can be implemented if users use mobile devices. The information collected may include: 
personal data of the user and persons in contact with them (gender, age, religious and political views, etc.); 
restricted access information (browser history, user's contact list, call history, etc.); 
environmental data (current location of the mobile device, driving directions, availability of wireless networks within the access radius); 
video data captured by the mobile device's video cameras; 
audio data captured by the device's microphone";An internal intruder with an average potential;Mobile device;1;0;0;23.06.2016;11.02.2019
185;Threat of unauthorized modification of information security settings;The threat consists in the possibility of an intruder making unauthorized changes to the settings of the information security tool. This threat is caused by weaknesses in measures to restrict access to configuration files of the information security tool. The implementation of this threat is possible if the violator obtains access rights to the software management interface of the information security tool, as well as if the violator has information about the structure and format of the configuration files of the information security tool.;"External intruder with low potential; Internal intruder with low potential";Information protection tool;1;1;1;23.06.2016;11.02.2019
186;Threat of malicious code injection through ads, services, and content;"The threat consists in the possibility of an intruder introducing malicious code into the information system through advertising, services and (or) content (i.e. convincing the system user to activate the link, code, etc.) when the system user visits sites on the Internet or installs programs with the function of displaying ads. 
This threat is caused by weaknesses in network traffic filtering and anti-virus control mechanisms at the organization level. 
The implementation of this threat is possible if users of the system visit sites on the Internet from their workplaces";Low-potential domestic intruder;Network Software;0;1;1;23.06.2016;11.02.2019
187;Threat of unauthorized impact on the information security tool;"The threat consists in the possibility of unauthorized access by the violator to the software environment for managing the information security tool and changing the mode of its operation. 
The threat is caused by the availability of a software management environment and interaction with system users for information protection tools. 
The implementation of this threat is possible if the violator obtains access rights to the software interface for managing the information security tool";"External intruder with medium potential; Internal intruder with medium potential";Information protection tool;1;1;1;21.10.2016;11.02.2019
188;Threat of software spoofing;"The threat consists in the possibility of an intruder introducing malicious software into the system by downloading and installing malicious software hidden under the guise of legitimate freely distributed software. 
This threat is caused by the user's rights to install software from the Internet.
The implementation of this threat is possible when downloading software on the Internet";An internal intruder with an average potential;Application software, Network software, System software;1;1;1;21.10.2016;11.02.2019
189;Threat of masking malicious code actions;"The threat lies in the possibility of hiding malicious code actions in the system due to the use of special code masking mechanisms (archiving, changing the data format, etc.), which prevent its further analysis. 
This threat is caused by the presence of methods for masking program code that are not taken into account by the signature databases of information security tools, as well as operating system mechanisms that allow you to search for information security modules. 
This threat can be implemented if the system uses outdated versions of information protection tools";External intruder with medium potential;System software, network software;0;1;1;21.10.2016;08.02.2019
190;Threat of introducing malicious code by visiting infected sites on the Internet;"The threat consists in the possibility of an intruder injecting malicious code into the user's computer when visiting infected sites. The intruder identifies the sites most visited by the user, then hacks them and inserts malicious code into them. This threat is caused by weaknesses in anti-virus protection measures, as well as the lack of firewall rules. This threat can be implemented if: 
the user has unlimited access to the Internet;
 the intruder has information about the sites visited by the user";External intruder with medium potential;Network Software;1;1;1;21.10.2016;08.02.2019
191;Threat of malicious code being introduced into the software distribution;"The threat consists in the possibility of an intruder infecting the system by installing an untrusted distribution kit with malicious code embedded in it. This threat is caused by weaknesses in anti-virus protection measures. This threat can be implemented if: the user uses third-party distributions; there is no antivirus check before installing the distribution.";"External intruder with low potential; Internal intruder with low potential";Application software, Network software, System software;1;1;1;21.10.2016;11.02.2020
192;Threat of using vulnerable software versions;The threat consists in the possibility of an intruder having a destructive impact on the system by exploiting software vulnerabilities. This threat is caused by weaknesses in the software's vulnerability analysis mechanisms. The implementation of this threat is possible if you do not check for vulnerabilities before using the software, or if you use software that has been discontinued by the manufacturer;"External intruder with low potential; Internal intruder with low potential";Application software, Network software, System software;1;1;1;21.10.2016;25.11.2020
193;Threat of information leakage due to the use of malicious software traffic encryption algorithms;"The threat lies in the possibility of information leakage due to the use of malicious software traffic encryption algorithms that hide the very fact of data transfer. 
This threat is caused by weaknesses in information security measures for storing, processing, and transmitting information resources. 
This threat can be implemented: 
if the specified malicious software is successfully introduced into the discredited system; 
if there is no or insufficient implementation of firewall measures";External intruder with medium potential;Information resources, file system objects;1;0;0;01.12.2016;20.05.2020
194;Threat of unauthorized use of privileged functions of a mobile device;"The threat lies in the possibility that the violator can remove the manufacturer's pre-installed restrictions on configuring privileged functions of the mobile device. This threat is caused by the presence of vulnerabilities in the operating systems of the mobile device that allow access to the settings of privileged functions. 
This threat can be implemented if an intruder gains access to a mobile device";External intruder with high potential;Mobile device;1;1;1;01.12.2016;08.02.2019
195;Threat of remote execution of malicious code bypassing the operating system's security mechanisms;"The threat is the ability to run malicious code remotely by creating applications that bypass the security mechanisms built into the operating system. 
This threat is caused by errors in processors (for example, errors in the Intel processor of the Haswell generation), which allow the creation of special applications to bypass the protection mechanisms built into the operating system (for example, the ASLR mechanism). 
This threat can be implemented if: a collision is initiated in the target buffer table - it can be used to find out the memory areas where specific code fragments are located; 
creating an application that uses these code fragments to bypass the protection mechanism; 
run this application in conjunction with an exploit of any vulnerability of the operating system itself to create the ability to run malicious code remotely";External intruder with high potential;Fixed and mobile devices (computers and laptops) (hardware device);0;1;0;07.06.2017;08.02.2019
196;Threat of malware controlling the list of apps running on a mobile device;"The threat lies in the possibility of using malware to control the list of applications running on a mobile device. 
This threat is caused by insufficient anti-virus protection measures, which allows you to perform uncontrolled launch of malicious programs (lack of control of authorized software). This threat can be implemented if the malware is embedded on a mobile device and unintentionally launched by the user";External intruder with high potential;Mobile device (hardware device);0;1;1;07.06.2017;08.02.2019
197;Threat of theft of authentication information from temporary cookies;"The threat consists in the possibility that malicious software can steal users ' authentication information and their accounts stored in temporary cookies, and transmit this information to intruders via the open RDP port. 
This threat is caused by insufficient anti-virus protection measures, which allows you to perform uncontrolled launch of malicious software (lack of control of authorized software).
In addition, this threat is caused by the failure to take measures to erase residual information from temporary files (clearing temporary files).
This threat can be implemented if the RDP port is open on the attacked computer.";External intruder with medium potential;Information stored on your computer in temporary files (software);1;0;0;07.06.2017;08.02.2019
198;Threat of hidden registration of administrator accounts by malicious software;"The threat lies in the possibility of the embedded malware secretly creating accounts with administrator rights in order to use them later for unauthorized access to user information and software settings installed on the infected computer. 
This threat is caused by insufficient anti-virus protection measures, which allows you to perform uncontrolled launch of malicious software (lack of control over the allowed software).
In addition, this threat is caused by insufficient measures to differentiate access (control the creation of user accounts).
This threat can be implemented if the RDP port is open on the attacked computer.";External intruder with medium potential;Access control system built into the computer's operating system (software);0;1;0;07.06.2017;08.02.2019
199;Threat of interception of mobile device control when using virtual voice assistants;"The threat lies in the ability to control the mobile device and applications running on it on behalf of a legitimate user by transmitting these commands via virtual voice assistants (for example, via Siri for iPhone).
This threat is caused by problems with user authentication, in particular by Voice ID. The voice assistant cannot be completely sure that the voice being addressed belongs to the owner of the device, so for the convenience of users and to guarantee operation, the Voice ID sensitivity is set to low. This allows the intruder to use the speech recorded on the voice recorder of the owner of the mobile device. This threat can be implemented if the virtual voice assistant is in the active state (i.e., not disabled) and the voice ID sensitivity is set to low";External intruder with medium potential;Mobile device and applications running on it (software, hardware device);1;0;1;07.06.2017;08.02.2019
200;Threat of information theft from a mobile device when using virtual voice assistants;"The threat lies in the possibility of theft of user data from their mobile device through virtual voice assistants (for example, via Siri for iPhone).
This threat is caused by problems with user authentication, in particular by Voice ID. The voice assistant cannot be completely sure that the voice that is being accessed belongs to the owner of the device, so for the convenience of users and to guarantee operation, the Voice ID sensitivity is set to low. This allows the intruder to use the speech recorded on the voice recorder of the owner of the mobile device. This threat can be implemented if the virtual voice assistant is in the active state (i.e. not disabled) and the voice ID sensitivity is set to low";External intruder with medium potential;Mobile device user data (hardware device);1;0;0;07.06.2017;08.02.2019
201;Threat of user data leakage when using the automatic filling in of authentication information in the browser;"The threat lies in the possibility of user data leakage due to the use of the automatic filling in authorization forms function implemented in browsers. 
The implementation of this threat is caused by storing user data used for autofilling authorization forms in clear text in browsers. 
This threat can be implemented if the user uses a browser that implements and activates the function of automatic filling in authorization forms.";External intruder with medium potential;User authentication data (software);1;0;0;07.06.2017;08.02.2019
202;Threat of unauthorized installation of apps on mobile devices;"The threat lies in the possibility of installing applications on virtual machines of mobile devices running the Android operating system, which were launched without authorization by an embedded malicious program. The malicious program starts a virtual machine on a mobile device and hosts (installs) an unlimited number of applications in this virtual machine. 
This threat is caused by insufficient measures to control the launch of application software, which allows you to perform uncontrolled launch of malicious application software after the user performs various actions in the system (for example, when the user tries to close unwanted ads).
This threat can be implemented if there is a malicious program on the mobile device that can launch a VM and install an application in this VM.";External intruder with medium potential;Mobile devices (hardware device, software);1;0;0;07.06.2017;08.02.2019
203;Threat of information leakage from computers that are not connected to the Internet;"The threat consists in the possibility of data theft from computers that are not connected to the Internet by compromising their hardware elements or switching equipment devices (for example, routers) equipped with LED indicators, fixing the flickering of these indicators and decrypting the results obtained. 
The implementation of this threat is due to the fact that there is a possibility of unauthorized access to control these indicators (using special firmware or privilege escalation and executing malicious code), which allows transmitting information by converting it into a sequence of indicator signals for computers and switching equipment. 
The implementation of this threat is possible provided that the attacker has obtained physical access to the compromised computer or switching equipment to install a means of visual removal of LED indicator signals.";"External intruder with medium potential; Internal intruder with medium potential";Software;1;0;0;01.09.2017;08.02.2019
204;Threat of unauthorized modification of parameter values of programmable logic controllers by malicious software;"The threat consists in the possibility of unauthorized modification of the values of parameters for monitoring and controlling executive devices in programmable logic controllers by a malicious program after its penetration and authorization on these devices. 
The implementation of the threat is caused by the ability of a malicious program to detect programmable logic controllers on the network, to penetrate and function in the operating system of programmable logic controllers, as well as by shortcomings in authentication mechanisms. 
Implementation of this threat is possible provided that there is a possibility of access to the elements of the automated process control system via the Internet";External intruder with medium potential;Hardware device;0;1;0;01.09.2017;08.02.2019
205;Threat of computer malfunction and blocking access to its data due to incorrect operation of the security tools installed on it;"The threat consists in the possibility of disrupting the operation of the computer and denying access to its data due to the erroneous blocking of files by the information protection tool.
The implementation of this threat is due to the fact that the computer has an information protection tool that implements the function of blocking files";External intruder with low potential;Hardware device, software;0;0;1;01.09.2017;08.02.2019
206;Threat of equipment failure due to changes in its geolocation information;The threat consists in the failure of the CNC equipment caused by a change in the geolocation information about this equipment. The threat is caused by the geolocation binding of CNC equipment to a specific geographical coordinate during commissioning. The threat is realized if the CNC equipment is moved and leads to the impossibility of its further operation;External intruder with high potential;Hardware device;1;0;1;30.10.2017;08.02.2019
207;"Threat of unauthorized access to hardware configuration parameters through the use of ""master codes ""(engineering passwords)";"The threat consists in unauthorized access to information configuration parameters in CNC equipment through the use of special "" master codes ""(engineering passwords),"" hardcoded "" (not changed by configuration) in the software of this equipment. The threat is caused by the need for repair work in case of failures in the software of CNC equipment by representatives of the manufacturer";"External intruder with low potential; Internal intruder with low potential";Hardware device, software;1;1;1;30.10.2017;08.02.2019
208;Threat of misuse of computing resources of computer equipment;"The threat lies in the possibility of using the computing resources of computer equipment for implementing third-party computing processes.
The threat is implemented through the introduction of a malicious program containing code that implements the use of computing resources for its own needs (in particular, for cryptocurrency mining).
This threat is caused by insufficient information security measures: 
measures for anti-virus protection, which allows you to install and run a malicious program; 
measures to restrict the software environment, which allow the intruder to launch software components without control.";"External intruder with low potential; Internal intruder with low potential; External intruder with medium potential; Internal intruder with medium potential";Computer hardware, mobile device;0;0;1;10.04.2018;08.02.2019
209;"Threat of unauthorized access to protected memory 
processor cores";"The threat consists in the possibility of accessing protected memory from a program that does not have the appropriate rights, as a result of exploiting vulnerabilities that allow you to overcome the access control mechanism implemented by the central processor. 
The implementation of this threat is caused by the presence of vulnerabilities related to an error in memory access control based on speculative execution of processor instructions. An access control error is caused by the following factors: 
1) no verification of the process's access rights to readable areas during speculative operations, including reading from RAM; 
2) lack of clearing the cache from the results of erroneous speculative execution; 
3) storing operating system kernel data in the process address space. 
The implementation of this threat is possible due to the presence of processors with hardware vulnerabilities and the lack of relevant updates.";"External intruder with low potential; Internal intruder with low potential";Hardware device;1;1;1;13.06.2018;08.02.2019
210;Threat of disruption of the information system caused by updating the software used in it;"The threat is a possible disruption of the functioning of software, hardware and software elements of the information system or the information system as a whole due to incorrect operation of installed updates (patches) of the system software. 
The threat is caused by the presence of critical errors, defects, and vulnerabilities in the information system software used. 
The implementation of this threat is possible if updates are installed on the hardware and software components of the information system.";A high-potential domestic intruder;Hardware device, firmware, system and application software;0;1;1;19.11.2018;08.02.2019
211;Threat of using unverified user data when generating a configuration file used by information systems administration software;"The threat consists in the possibility of a destructive impact on the information system and the information processed by it as a result of the operation of the software used for the administration of information systems.
This threat is related to weaknesses in the procedure for verifying user data used when generating a configuration file for information systems administration software.
The implementation of this threat is possible if the information system uses information systems administration software, which uses configuration files generated on the basis of user data as source data.";Low-potential domestic intruder;System Software;1;1;0;19.11.2018;08.02.2019
212;Threat of information system management interception;"The threat consists in the possibility of unauthorized access to information, software, and computing resources of an information system by an intruder as a result of substitution of centralized management tools for the information system or its components. 
This threat is caused by the presence of software interfaces for interaction with other access subjects (processes, programs) in centralized management tools and, as a result, the possibility of unauthorized access to these centralized management tools, as well as insufficient measures to differentiate access to them. 
The implementation of this threat is possible if the violator has the rights to interact with centralized management tools";An internal intruder with an average potential;Information systems infrastructure;1;1;1;19.11.2018;08.02.2019
213;Threat of bypassing multi-factor authentication;"The threat consists in the ability to bypass multi-factor authentication by injecting malicious code into the discredited system and components involved in the multi-factor authentication procedure. 
This threat is caused
by:  software vulnerabilities; 
weaknesses in anti-virus protection and access control measures. 
This threat can be implemented:
if the discredited user works with files coming from untrusted sources; 
if they have software installation privileges";External intruder with high potential;System software, firmware, user credentials;1;1;1;19.11.2018;08.02.2019
214;Threat of late detection and response by components of an information (automated) system (including information security tools) to information security events;"The threat consists in the omission and / or significant time delay in determining (detecting) information security events, which leads to a lack of response to attempts of unauthorized access to the information (automated) system, to the introduction of malicious programs. 
This threat is caused by incorrect configuration of components of the information (automated) system and/or information security tools, as well as the absence of such components and/or information security tools. 
This threat can be implemented if there are no security measures related to monitoring, collecting and analyzing data on information security events (no security event registration measures).";An internal intruder with an average potential;Software, data communication (transmission) channels;0;1;1;15.11.2019;15.11.2019
215;Threat of unauthorized access to the system using third-party services;"The threat consists in the possibility of the violator performing destructive software influence on the discredited system using third-party legitimate services (social networks, instant messengers, code repositories, etc.) used as an intermediary. 
This threat can be implemented if the discredited system is already compromised.";External intruder with medium potential;Software (programs);1;1;1;15.11.2019;15.11.2019
216;Threat of unauthorized access to applications installed on Smart cards;"The threat consists in the possibility of an intruder's unauthorized access to applications installed on Smart cards by sending specially generated control commands (for example, specially generated SMS messages sent to the SIM card).
This threat is caused by the presence of vulnerabilities in applications installed on Smart cards.
Implementation of this threat is possible when using Smart cards of the Java Card type";External intruder with medium potential;Software (programs);1;1;1;15.11.2019;15.11.2019
217;Threat of using a compromised trusted software update source;"The threat consists in the possibility of introducing malicious code into the information system by using compromised trusted software update sources. 
This threat can be implemented if you use compromised trusted software update servers";"Internal intruder with medium potential; External intruder with medium potential";Information system, files;1;1;1;11.02.2020;11.02.2020
218;Threat of disclosure of information about the machine learning model;"The threat lies in the possibility of an intruder disclosing information about the machine learning model used in an information (automated) system. 
This threat is caused by weaknesses in access control in information (automated) systems that use machine learning. 
This threat can be implemented if the intruder has direct access to the machine learning model";"External intruder with high potential; Internal intruder with medium potential";"Software (s) that use machine learning; machine learning models";1;0;0;15.12.2020;16.12.2020
219;Threat of theft of training data;"The threat consists in the possibility of theft by the violator of training data used in an information (automated) system that implements artificial intelligence technologies.
This threat is caused by weaknesses in the differentiation of access to training data used in the information (automated) system. 
This threat can be implemented if the intruder has direct access to the training data";"External intruder with medium potential; Internal intruder with medium potential";"Software (s) that use machine learning; machine learning training data";1;0;0;15.12.2020;16.12.2020
220;"Threat of disruption of functioning (""circumvention"") of means implementing artificial intelligence technologies";"The threat consists in the possibility of disruption of the functioning (""circumvention"") by the violator of the means that implement artificial intelligence technologies.
This threat is caused by the following reasons: 
- no necessary data in the training set;
- the presence of shortcomings in the machine learning model;";"External intruder with high potential; Internal intruder with medium potential";Software (programs) that implement artificial intelligence technologies;1;0;0;15.12.2020;16.12.2020
221;"Threat of modification of the machine learning model by distorting (""poisoning"") training data";"The threat lies in the possibility of modifying (distorting) the machine learning model used in an information (automated) system that implements artificial intelligence technologies.
This threat is caused by: 
- disadvantages of implementing the machine learning process; 
- disadvantages of the device of machine learning algorithms. 
This threat can be implemented if the intruder has the ability to influence the machine learning process";"External intruder with high potential; Internal intruder with medium potential";"Software (s) that use machine learning; machine learning models; machine learning training data";0;1;0;15.12.2020;16.12.2020
222;The threat of spoofing the machine learning model;"The threat lies in the possibility of an intruder replacing the machine learning model used in an information (automated) system that implements artificial intelligence technologies.
This threat is caused by weaknesses in access control in information (automated) systems that use machine learning. 
This threat can be implemented if the intruder has direct access to the machine learning model";A high-potential domestic intruder;"Software (s) that use machine learning; machine learning models";1;1;0;15.12.2020;16.12.2020
